,0,1,2,3,4,5,6,7,8,9,10,11,12
AAPL,0.0,0.0,0.0,0.0,0.44157857,0.0,0.0,0.0,0.31136516,0.0,0.12016893,0.12688734,0.0
ABBV,0.3799332,0.0,0.0,0.0,0.22276023,0.0,0.0,0.39730656,0.0,0.0,0.0,0.0,0.0
AMZN,0.062369805,0.06569226,0.07148267,0.07259639,0.12478598,0.054422442,0.06996582,0.15880954,0.057152543,0.05584712,0.05629956,0.07726717,0.073308736
BAC,0.08539042,0.075023584,0.077704966,0.07595856,0.095358394,0.060597952,0.08247834,0.10365066,0.072592,0.082021825,0.06334411,0.033378344,0.09250081
GOOGL,0.0,0.0,0.21922158,0.17817707,0.20593856,0.0,0.0,0.23353802,0.0,0.16312477,0.0,0.0,0.0
JNJ,0.08737781,0.08330571,0.068797775,0.08244058,0.09540736,0.06831166,0.07329273,0.11166083,0.06625625,0.07355127,0.07867174,0.049752586,0.06117375
JPM,0.053015087,0.106098846,0.11987467,0.11365697,0.118985005,0.051297124,0.0,0.118988074,0.08686443,0.06269633,0.0,0.09503174,0.07349171
LLY,0.2306322,0.23559654,0.0,0.0,0.23469521,0.0,0.0,0.29907614,0.0,0.0,0.0,0.0,0.0
MA,0.064971104,0.06715311,0.07280162,0.08592618,0.12427446,0.062102925,0.08753517,0.14044955,0.05396387,0.06037144,0.0764037,0.038211886,0.06583495
MRK,0.07468324,0.06322589,0.060184404,0.08922299,0.1413488,0.08786244,0.089434855,0.13235004,0.051528282,0.07607627,0.038782593,0.042551372,0.052748874
MSFT,0.31282124,0.0,0.0,0.19621472,0.19597054,0.0,0.0,0.0,0.29499352,0.0,0.0,0.0,0.0
NVDA,0.0,0.0,0.0,0.0,0.28111732,0.0,0.0,0.7188827,0.0,0.0,0.0,0.0,0.0
UNH,0.09228076,0.052766584,0.10174544,0.0990838,0.11133405,0.13309278,0.0,0.1327243,0.061560147,0.09642274,0.0,0.11898936,0.0
V,0.059405245,0.06828838,0.09166132,0.08169037,0.10892589,0.07505076,0.078168765,0.16261935,0.07482317,0.057526667,0.011429231,0.04513425,0.08527665
WFC,0.06746355,0.085151404,0.08030906,0.07191397,0.10388281,0.09132297,0.05258141,0.13200104,0.05740303,0.07124842,0.030711941,0.081552885,0.07445758
