,AAPL,ABBV,AMZN,BAC,GOOGL,JNJ,JPM,LLY,MA,MRK,MSFT,NVDA,UNH,V,WFC
AAPL,"['Volume', 'RSI', 'lagged_sentiment_tot_1', 'pos_neg_ratio']",,,,,,,,,,,,,,
ABBV,,"['RSI', 'sentiment_avg', 'lagged_sentiment_tot_2']",,,,,,,,,,,,,
AMZN,,,"['finvader_neg', 'finvader_neu', 'finvader_pos', 'finvader_tot', 'Open', 'Low', 'Close', 'Volume', 'pos_art_count', 'neg_art_count', 'total_articles', 'SMA_10', 'RSI', 'EMA_10', 'sentiment_avg', 'sentiment_diff', 'sentiment_moving_avg', 'cumulative_pos', 'cumulative_tot', 'sentiment_volatility', 'lagged_sentiment_tot_1', 'lagged_sentiment_tot_2', 'pos_neg_ratio', 'pos_tot_ratio', 'sentiment_trend', 'sentiment_momentum']",,,,,,,,,,,,
BAC,,,,"['finvader_neg', 'finvader_neu', 'finvader_pos', 'finvader_tot', 'Open', 'High', 'Low', 'Close', 'Volume', 'pos_art_count', 'SMA_5', 'SMA_10', 'RSI', 'EMA_5', 'EMA_10', 'sentiment_avg', 'sentiment_diff', 'cumulative_pos', 'cumulative_neg', 'cumulative_tot', 'lagged_sentiment_tot_1', 'lagged_sentiment_tot_2', 'pos_neg_ratio', 'pos_tot_ratio', 'sentiment_trend', 'sentiment_momentum']",,,,,,,,,,,
GOOGL,,,,,"['sentiment_diff', 'cumulative_tot']",,,,,,,,,,
JNJ,,,,,,"['finvader_neu', 'finvader_tot', 'Open', 'Close', 'Volume', 'SMA_10', 'RSI', 'sentiment_diff', 'sentiment_moving_avg', 'sentiment_volatility', 'lagged_sentiment_tot_2', 'pos_tot_ratio', 'sentiment_trend', 'sentiment_momentum']",,,,,,,,,
JPM,,,,,,,"['finvader_neg', 'finvader_neu', 'finvader_pos', 'finvader_tot', 'Open', 'Close', 'Volume', 'pos_art_count', 'SMA_5', 'SMA_10', 'RSI', 'sentiment_avg', 'sentiment_diff', 'sentiment_moving_avg', 'cumulative_pos', 'cumulative_neg', 'lagged_sentiment_tot_1', 'lagged_sentiment_tot_2', 'pos_neg_ratio', 'pos_tot_ratio', 'sentiment_trend', 'sentiment_momentum']",,,,,,,,
LLY,,,,,,,,"['finvader_neg', 'finvader_neu', 'finvader_pos', 'Open', 'Low', 'Close', 'Volume', 'SMA_5', 'SMA_10', 'RSI', 'EMA_10', 'sentiment_diff', 'sentiment_moving_avg', 'cumulative_tot', 'sentiment_volatility', 'lagged_sentiment_tot_1', 'pos_neg_ratio', 'pos_tot_ratio']",,,,,,,
MA,,,,,,,,,"['finvader_neu', 'finvader_pos', 'finvader_tot', 'Open', 'High', 'Close', 'Volume', 'neu_art_count', 'SMA_5', 'SMA_10', 'RSI', 'EMA_10', 'sentiment_diff', 'lagged_sentiment_tot_1', 'lagged_sentiment_tot_2', 'pos_tot_ratio', 'sentiment_trend', 'sentiment_momentum']",,,,,,
MRK,,,,,,,,,,"['finvader_neg', 'finvader_neu', 'finvader_pos', 'finvader_tot', 'Open', 'Low', 'Close', 'Volume', 'pos_art_count', 'neu_art_count', 'total_articles', 'SMA_5', 'SMA_10', 'RSI', 'EMA_5', 'sentiment_avg', 'sentiment_diff', 'sentiment_moving_avg', 'cumulative_pos', 'cumulative_neg', 'cumulative_tot', 'sentiment_volatility', 'lagged_sentiment_tot_1', 'lagged_sentiment_tot_2', 'pos_neg_ratio', 'pos_tot_ratio', 'sentiment_momentum']",,,,,
MSFT,,,,,,,,,,,"['finvader_neg', 'Open', 'Volume', 'RSI', 'sentiment_moving_avg', 'sentiment_trend']",,,,
NVDA,,,,,,,,,,,,"['finvader_tot', 'RSI', 'sentiment_moving_avg', 'lagged_sentiment_tot_1']",,,
UNH,,,,,,,,,,,,,"['finvader_neg', 'finvader_neu', 'finvader_pos', 'Open', 'Close', 'Volume', 'RSI', 'EMA_10', 'sentiment_avg', 'lagged_sentiment_tot_1', 'lagged_sentiment_tot_2']",,
V,,,,,,,,,,,,,,"['finvader_neg', 'finvader_neu', 'finvader_pos', 'finvader_tot', 'Open', 'High', 'Low', 'Close', 'Volume', 'total_articles', 'SMA_5', 'SMA_10', 'RSI', 'EMA_5', 'EMA_10', 'sentiment_avg', 'sentiment_diff', 'sentiment_moving_avg', 'cumulative_pos', 'cumulative_neg', 'cumulative_tot', 'lagged_sentiment_tot_1', 'lagged_sentiment_tot_2', 'pos_neg_ratio', 'pos_tot_ratio', 'sentiment_trend', 'sentiment_momentum']",
WFC,,,,,,,,,,,,,,,"['finvader_pos', 'Open', 'Volume', 'SMA_10', 'RSI', 'sentiment_trend']"
