,0,1,2,3
AAPL,"{'accuracy': 0.515625, 'precision': 0.515625, 'recall': 1.0, 'f1_score': 0.6804123711340206, 'mse': 0.484375, 'confusion_matrix': [[0, 31], [0, 33]]}","{'accuracy': 0.5625, 'precision': 0.5625, 'recall': 1.0, 'f1_score': 0.72, 'mse': 0.4375, 'confusion_matrix': [[0, 28], [0, 36]]}","{'accuracy': 0.42857142857142855, 'precision': 0.42857142857142855, 'recall': 1.0, 'f1_score': 0.6, 'mse': 0.5714285714285714, 'confusion_matrix': [[0, 36], [0, 27]]}","{'accuracy': 0.5166666666666667, 'precision': 0.5166666666666667, 'recall': 1.0, 'f1_score': 0.6813186813186815, 'mse': 0.48333333333333334, 'confusion_matrix': [[0, 29], [0, 31]]}"
ABBV,"{'accuracy': 0.6122448979591837, 'precision': 0.6122448979591837, 'recall': 1.0, 'f1_score': 0.759493670886076, 'mse': 0.3877551020408163, 'confusion_matrix': [[0, 19], [0, 30]]}","{'accuracy': 0.5609756097560976, 'precision': 0.5609756097560976, 'recall': 1.0, 'f1_score': 0.71875, 'mse': 0.43902439024390244, 'confusion_matrix': [[0, 18], [0, 23]]}","{'accuracy': 0.5945945945945946, 'precision': 0.5945945945945946, 'recall': 1.0, 'f1_score': 0.7457627118644068, 'mse': 0.40540540540540543, 'confusion_matrix': [[0, 15], [0, 22]]}","{'accuracy': 0.5405405405405406, 'precision': 0.5405405405405406, 'recall': 1.0, 'f1_score': 0.7017543859649124, 'mse': 0.4594594594594595, 'confusion_matrix': [[0, 17], [0, 20]]}"
AMZN,"{'accuracy': 0.71875, 'precision': 0.65, 'recall': 0.8666666666666667, 'f1_score': 0.7428571428571429, 'mse': 0.28125, 'confusion_matrix': [[20, 14], [4, 26]]}","{'accuracy': 0.671875, 'precision': 0.6382978723404256, 'recall': 0.8823529411764706, 'f1_score': 0.7407407407407407, 'mse': 0.328125, 'confusion_matrix': [[13, 17], [4, 30]]}","{'accuracy': 0.49206349206349204, 'precision': 0.41379310344827586, 'recall': 0.4444444444444444, 'f1_score': 0.4285714285714286, 'mse': 0.5079365079365079, 'confusion_matrix': [[19, 17], [15, 12]]}","{'accuracy': 0.6, 'precision': 0.5581395348837209, 'recall': 0.8275862068965517, 'f1_score': 0.6666666666666666, 'mse': 0.4, 'confusion_matrix': [[12, 19], [5, 24]]}"
BAC,"{'accuracy': 0.5238095238095238, 'precision': 0.5238095238095238, 'recall': 1.0, 'f1_score': 0.6875000000000001, 'mse': 0.47619047619047616, 'confusion_matrix': [[0, 20], [0, 22]]}","{'accuracy': 0.4523809523809524, 'precision': 0.4523809523809524, 'recall': 1.0, 'f1_score': 0.6229508196721312, 'mse': 0.5476190476190477, 'confusion_matrix': [[0, 23], [0, 19]]}","{'accuracy': 0.375, 'precision': 0.375, 'recall': 1.0, 'f1_score': 0.5454545454545454, 'mse': 0.625, 'confusion_matrix': [[0, 25], [0, 15]]}","{'accuracy': 0.4358974358974359, 'precision': 0.43243243243243246, 'recall': 0.9411764705882353, 'f1_score': 0.5925925925925927, 'mse': 0.5641025641025641, 'confusion_matrix': [[1, 21], [1, 16]]}"
GOOGL,"{'accuracy': 0.5079365079365079, 'precision': 0.5, 'recall': 0.9354838709677419, 'f1_score': 0.6516853932584269, 'mse': 0.49206349206349204, 'confusion_matrix': [[3, 29], [2, 29]]}","{'accuracy': 0.5806451612903226, 'precision': 0.5686274509803921, 'recall': 0.8787878787878788, 'f1_score': 0.6904761904761905, 'mse': 0.41935483870967744, 'confusion_matrix': [[7, 22], [4, 29]]}","{'accuracy': 0.41935483870967744, 'precision': 0.4098360655737705, 'recall': 1.0, 'f1_score': 0.5813953488372093, 'mse': 0.5806451612903226, 'confusion_matrix': [[1, 36], [0, 25]]}","{'accuracy': 0.43333333333333335, 'precision': 0.43333333333333335, 'recall': 1.0, 'f1_score': 0.6046511627906976, 'mse': 0.5666666666666667, 'confusion_matrix': [[0, 34], [0, 26]]}"
JNJ,"{'accuracy': 0.4594594594594595, 'precision': 0.7777777777777778, 'recall': 0.28, 'f1_score': 0.4117647058823529, 'mse': 0.5405405405405406, 'confusion_matrix': [[10, 2], [18, 7]]}","{'accuracy': 0.6470588235294118, 'precision': 0.631578947368421, 'recall': 0.7058823529411765, 'f1_score': 0.6666666666666667, 'mse': 0.35294117647058826, 'confusion_matrix': [[10, 7], [5, 12]]}","{'accuracy': 0.5357142857142857, 'precision': 0.5909090909090909, 'recall': 0.7647058823529411, 'f1_score': 0.6666666666666667, 'mse': 0.4642857142857143, 'confusion_matrix': [[2, 9], [4, 13]]}","{'accuracy': 0.6285714285714286, 'precision': 0.52, 'recall': 0.9285714285714286, 'f1_score': 0.6666666666666666, 'mse': 0.37142857142857144, 'confusion_matrix': [[9, 12], [1, 13]]}"
JPM,"{'accuracy': 0.5833333333333334, 'precision': 0.6216216216216216, 'recall': 0.7931034482758621, 'f1_score': 0.696969696969697, 'mse': 0.4166666666666667, 'confusion_matrix': [[5, 14], [6, 23]]}","{'accuracy': 0.35, 'precision': 0.3611111111111111, 'recall': 0.8125, 'f1_score': 0.5, 'mse': 0.65, 'confusion_matrix': [[1, 23], [3, 13]]}","{'accuracy': 0.4318181818181818, 'precision': 0.4166666666666667, 'recall': 0.7894736842105263, 'f1_score': 0.5454545454545454, 'mse': 0.5681818181818182, 'confusion_matrix': [[4, 21], [4, 15]]}","{'accuracy': 0.35, 'precision': 0.391304347826087, 'recall': 0.42857142857142855, 'f1_score': 0.4090909090909091, 'mse': 0.65, 'confusion_matrix': [[5, 14], [12, 9]]}"
LLY,"{'accuracy': 0.59375, 'precision': 0.59375, 'recall': 1.0, 'f1_score': 0.7450980392156863, 'mse': 0.40625, 'confusion_matrix': [[0, 13], [0, 19]]}","{'accuracy': 0.4090909090909091, 'precision': 0.4090909090909091, 'recall': 1.0, 'f1_score': 0.5806451612903226, 'mse': 0.5909090909090909, 'confusion_matrix': [[0, 13], [0, 9]]}","{'accuracy': 0.47058823529411764, 'precision': 0.5217391304347826, 'recall': 0.631578947368421, 'f1_score': 0.5714285714285715, 'mse': 0.5294117647058824, 'confusion_matrix': [[4, 11], [7, 12]]}","{'accuracy': 0.42857142857142855, 'precision': 0.42857142857142855, 'recall': 1.0, 'f1_score': 0.6, 'mse': 0.5714285714285714, 'confusion_matrix': [[0, 20], [0, 15]]}"
MA,"{'accuracy': 0.66, 'precision': 0.5454545454545454, 'recall': 0.9, 'f1_score': 0.679245283018868, 'mse': 0.34, 'confusion_matrix': [[15, 15], [2, 18]]}","{'accuracy': 0.6388888888888888, 'precision': 0.6111111111111112, 'recall': 0.6470588235294118, 'f1_score': 0.6285714285714287, 'mse': 0.3611111111111111, 'confusion_matrix': [[12, 7], [6, 11]]}","{'accuracy': 0.6363636363636364, 'precision': 0.5925925925925926, 'recall': 0.7619047619047619, 'f1_score': 0.6666666666666666, 'mse': 0.36363636363636365, 'confusion_matrix': [[12, 11], [5, 16]]}","{'accuracy': 0.5, 'precision': 0.4, 'recall': 0.6153846153846154, 'f1_score': 0.4848484848484849, 'mse': 0.5, 'confusion_matrix': [[9, 12], [5, 8]]}"
MRK,"{'accuracy': 0.631578947368421, 'precision': 0.7241379310344828, 'recall': 0.7777777777777778, 'f1_score': 0.75, 'mse': 0.3684210526315789, 'confusion_matrix': [[3, 8], [6, 21]]}","{'accuracy': 0.47368421052631576, 'precision': 0.3684210526315789, 'recall': 0.4666666666666667, 'f1_score': 0.4117647058823529, 'mse': 0.5263157894736842, 'confusion_matrix': [[11, 12], [8, 7]]}","{'accuracy': 0.6428571428571429, 'precision': 0.7586206896551724, 'recall': 0.7333333333333333, 'f1_score': 0.7457627118644068, 'mse': 0.35714285714285715, 'confusion_matrix': [[5, 7], [8, 22]]}","{'accuracy': 0.5555555555555556, 'precision': 0.5454545454545454, 'recall': 0.9473684210526315, 'f1_score': 0.6923076923076923, 'mse': 0.4444444444444444, 'confusion_matrix': [[2, 15], [1, 18]]}"
