,0,1,2,3
AAPL,"{'accuracy': 0.421875, 'precision': 0.4411764705882353, 'recall': 0.45454545454545453, 'f1_score': 0.4477611940298507, 'mse': 0.578125, 'confusion_matrix': [[12, 19], [18, 15]]}","{'accuracy': 0.5625, 'precision': 0.5625, 'recall': 1.0, 'f1_score': 0.72, 'mse': 0.4375, 'confusion_matrix': [[0, 28], [0, 36]]}","{'accuracy': 0.42857142857142855, 'precision': 0.42857142857142855, 'recall': 1.0, 'f1_score': 0.6, 'mse': 0.5714285714285714, 'confusion_matrix': [[0, 36], [0, 27]]}","{'accuracy': 0.5166666666666667, 'precision': 0.5166666666666667, 'recall': 1.0, 'f1_score': 0.6813186813186815, 'mse': 0.48333333333333334, 'confusion_matrix': [[0, 29], [0, 31]]}"
ABBV,"{'accuracy': 0.6122448979591837, 'precision': 0.6122448979591837, 'recall': 1.0, 'f1_score': 0.759493670886076, 'mse': 0.3877551020408163, 'confusion_matrix': [[0, 19], [0, 30]]}","{'accuracy': 0.5609756097560976, 'precision': 0.5609756097560976, 'recall': 1.0, 'f1_score': 0.71875, 'mse': 0.43902439024390244, 'confusion_matrix': [[0, 18], [0, 23]]}","{'accuracy': 0.5945945945945946, 'precision': 0.5945945945945946, 'recall': 1.0, 'f1_score': 0.7457627118644068, 'mse': 0.40540540540540543, 'confusion_matrix': [[0, 15], [0, 22]]}","{'accuracy': 0.5405405405405406, 'precision': 0.5405405405405406, 'recall': 1.0, 'f1_score': 0.7017543859649124, 'mse': 0.4594594594594595, 'confusion_matrix': [[0, 17], [0, 20]]}"
AMZN,"{'accuracy': 0.609375, 'precision': 0.5714285714285714, 'recall': 0.6666666666666666, 'f1_score': 0.6153846153846153, 'mse': 0.390625, 'confusion_matrix': [[19, 15], [10, 20]]}","{'accuracy': 0.53125, 'precision': 0.53125, 'recall': 1.0, 'f1_score': 0.6938775510204082, 'mse': 0.46875, 'confusion_matrix': [[0, 30], [0, 34]]}","{'accuracy': 0.47619047619047616, 'precision': 0.35, 'recall': 0.25925925925925924, 'f1_score': 0.29787234042553196, 'mse': 0.5238095238095238, 'confusion_matrix': [[23, 13], [20, 7]]}","{'accuracy': 0.55, 'precision': 0.525, 'recall': 0.7241379310344828, 'f1_score': 0.6086956521739131, 'mse': 0.45, 'confusion_matrix': [[12, 19], [8, 21]]}"
BAC,"{'accuracy': 0.5238095238095238, 'precision': 0.5238095238095238, 'recall': 1.0, 'f1_score': 0.6875000000000001, 'mse': 0.47619047619047616, 'confusion_matrix': [[0, 20], [0, 22]]}","{'accuracy': 0.4523809523809524, 'precision': 0.4523809523809524, 'recall': 1.0, 'f1_score': 0.6229508196721312, 'mse': 0.5476190476190477, 'confusion_matrix': [[0, 23], [0, 19]]}","{'accuracy': 0.375, 'precision': 0.375, 'recall': 1.0, 'f1_score': 0.5454545454545454, 'mse': 0.625, 'confusion_matrix': [[0, 25], [0, 15]]}","{'accuracy': 0.6153846153846154, 'precision': 0.6, 'recall': 0.35294117647058826, 'f1_score': 0.4444444444444445, 'mse': 0.38461538461538464, 'confusion_matrix': [[18, 4], [11, 6]]}"
GOOGL,"{'accuracy': 0.49206349206349204, 'precision': 0.4918032786885246, 'recall': 0.967741935483871, 'f1_score': 0.6521739130434782, 'mse': 0.5079365079365079, 'confusion_matrix': [[1, 31], [1, 30]]}","{'accuracy': 0.5161290322580645, 'precision': 0.5254237288135594, 'recall': 0.9393939393939394, 'f1_score': 0.673913043478261, 'mse': 0.4838709677419355, 'confusion_matrix': [[1, 28], [2, 31]]}","{'accuracy': 0.4032258064516129, 'precision': 0.4032258064516129, 'recall': 1.0, 'f1_score': 0.5747126436781609, 'mse': 0.5967741935483871, 'confusion_matrix': [[0, 37], [0, 25]]}","{'accuracy': 0.43333333333333335, 'precision': 0.43333333333333335, 'recall': 1.0, 'f1_score': 0.6046511627906976, 'mse': 0.5666666666666667, 'confusion_matrix': [[0, 34], [0, 26]]}"
JNJ,"{'accuracy': 0.6756756756756757, 'precision': 0.6756756756756757, 'recall': 1.0, 'f1_score': 0.8064516129032258, 'mse': 0.32432432432432434, 'confusion_matrix': [[0, 12], [0, 25]]}","{'accuracy': 0.5, 'precision': 0.5, 'recall': 1.0, 'f1_score': 0.6666666666666666, 'mse': 0.5, 'confusion_matrix': [[0, 17], [0, 17]]}","{'accuracy': 0.6071428571428571, 'precision': 0.6071428571428571, 'recall': 1.0, 'f1_score': 0.7555555555555554, 'mse': 0.39285714285714285, 'confusion_matrix': [[0, 11], [0, 17]]}","{'accuracy': 0.45714285714285713, 'precision': 0.391304347826087, 'recall': 0.6428571428571429, 'f1_score': 0.4864864864864865, 'mse': 0.5428571428571428, 'confusion_matrix': [[7, 14], [5, 9]]}"
JPM,"{'accuracy': 0.5833333333333334, 'precision': 0.7142857142857143, 'recall': 0.5172413793103449, 'f1_score': 0.6000000000000001, 'mse': 0.4166666666666667, 'confusion_matrix': [[13, 6], [14, 15]]}","{'accuracy': 0.4, 'precision': 0.4, 'recall': 1.0, 'f1_score': 0.5714285714285715, 'mse': 0.6, 'confusion_matrix': [[0, 24], [0, 16]]}","{'accuracy': 0.4772727272727273, 'precision': 0.4444444444444444, 'recall': 0.8421052631578947, 'f1_score': 0.5818181818181818, 'mse': 0.5227272727272727, 'confusion_matrix': [[5, 20], [3, 16]]}","{'accuracy': 0.475, 'precision': 0.5, 'recall': 0.09523809523809523, 'f1_score': 0.16, 'mse': 0.525, 'confusion_matrix': [[17, 2], [19, 2]]}"
LLY,"{'accuracy': 0.59375, 'precision': 0.59375, 'recall': 1.0, 'f1_score': 0.7450980392156863, 'mse': 0.40625, 'confusion_matrix': [[0, 13], [0, 19]]}","{'accuracy': 0.4090909090909091, 'precision': 0.4090909090909091, 'recall': 1.0, 'f1_score': 0.5806451612903226, 'mse': 0.5909090909090909, 'confusion_matrix': [[0, 13], [0, 9]]}","{'accuracy': 0.5588235294117647, 'precision': 0.5588235294117647, 'recall': 1.0, 'f1_score': 0.7169811320754718, 'mse': 0.4411764705882353, 'confusion_matrix': [[0, 15], [0, 19]]}","{'accuracy': 0.45714285714285713, 'precision': 0.4411764705882353, 'recall': 1.0, 'f1_score': 0.6122448979591837, 'mse': 0.5428571428571428, 'confusion_matrix': [[1, 19], [0, 15]]}"
MA,"{'accuracy': 0.4, 'precision': 0.4, 'recall': 1.0, 'f1_score': 0.5714285714285715, 'mse': 0.6, 'confusion_matrix': [[0, 30], [0, 20]]}","{'accuracy': 0.3888888888888889, 'precision': 0.3684210526315789, 'recall': 0.4117647058823529, 'f1_score': 0.3888888888888889, 'mse': 0.6111111111111112, 'confusion_matrix': [[7, 12], [10, 7]]}","{'accuracy': 0.5681818181818182, 'precision': 0.5416666666666666, 'recall': 0.6190476190476191, 'f1_score': 0.5777777777777778, 'mse': 0.4318181818181818, 'confusion_matrix': [[12, 11], [8, 13]]}","{'accuracy': 0.5588235294117647, 'precision': 0.45454545454545453, 'recall': 0.7692307692307693, 'f1_score': 0.5714285714285714, 'mse': 0.4411764705882353, 'confusion_matrix': [[9, 12], [3, 10]]}"
MRK,"{'accuracy': 0.42105263157894735, 'precision': 0.7272727272727273, 'recall': 0.2962962962962963, 'f1_score': 0.42105263157894735, 'mse': 0.5789473684210527, 'confusion_matrix': [[8, 3], [19, 8]]}","{'accuracy': 0.4473684210526316, 'precision': 0.3333333333333333, 'recall': 0.4, 'f1_score': 0.3636363636363636, 'mse': 0.5526315789473685, 'confusion_matrix': [[11, 12], [9, 6]]}","{'accuracy': 0.6428571428571429, 'precision': 0.7586206896551724, 'recall': 0.7333333333333333, 'f1_score': 0.7457627118644068, 'mse': 0.35714285714285715, 'confusion_matrix': [[5, 7], [8, 22]]}","{'accuracy': 0.5277777777777778, 'precision': 0.53125, 'recall': 0.8947368421052632, 'f1_score': 0.6666666666666666, 'mse': 0.4722222222222222, 'confusion_matrix': [[2, 15], [2, 17]]}"
MSFT,"{'accuracy': 0.5614035087719298, 'precision': 0.5555555555555556, 'recall': 0.967741935483871, 'f1_score': 0.7058823529411765, 'mse': 0.43859649122807015, 'confusion_matrix': [[2, 24], [1, 30]]}","{'accuracy': 0.5087719298245614, 'precision': 0.5087719298245614, 'recall': 1.0, 'f1_score': 0.6744186046511628, 'mse': 0.49122807017543857, 'confusion_matrix': [[0, 28], [0, 29]]}","{'accuracy': 0.47368421052631576, 'precision': 0.47368421052631576, 'recall': 1.0, 'f1_score': 0.6428571428571429, 'mse': 0.5263157894736842, 'confusion_matrix': [[0, 30], [0, 27]]}","{'accuracy': 0.5263157894736842, 'precision': 0.5263157894736842, 'recall': 1.0, 'f1_score': 0.6896551724137931, 'mse': 0.47368421052631576, 'confusion_matrix': [[0, 27], [0, 30]]}"
NVDA,"{'accuracy': 0.4838709677419355, 'precision': 0.4838709677419355, 'recall': 1.0, 'f1_score': 0.6521739130434783, 'mse': 0.5161290322580645, 'confusion_matrix': [[0, 32], [0, 30]]}","{'accuracy': 0.47540983606557374, 'precision': 0.47540983606557374, 'recall': 1.0, 'f1_score': 0.6444444444444445, 'mse': 0.5245901639344263, 'confusion_matrix': [[0, 32], [0, 29]]}","{'accuracy': 0.5166666666666667, 'precision': 0.5166666666666667, 'recall': 1.0, 'f1_score': 0.6813186813186815, 'mse': 0.48333333333333334, 'confusion_matrix': [[0, 29], [0, 31]]}","{'accuracy': 0.4444444444444444, 'precision': 0.4444444444444444, 'recall': 1.0, 'f1_score': 0.6153846153846153, 'mse': 0.5555555555555556, 'confusion_matrix': [[0, 25], [0, 20]]}"
UNH,"{'accuracy': 0.5416666666666666, 'precision': 0.5, 'recall': 0.5454545454545454, 'f1_score': 0.5217391304347826, 'mse': 0.4583333333333333, 'confusion_matrix': [[7, 6], [5, 6]]}","{'accuracy': 0.5862068965517241, 'precision': 0.3333333333333333, 'recall': 0.2, 'f1_score': 0.25, 'mse': 0.41379310344827586, 'confusion_matrix': [[15, 4], [8, 2]]}","{'accuracy': 0.4, 'precision': 0.5, 'recall': 0.06666666666666667, 'f1_score': 0.11764705882352941, 'mse': 0.6, 'confusion_matrix': [[9, 1], [14, 1]]}","{'accuracy': 0.5384615384615384, 'precision': 0.6666666666666666, 'recall': 0.15384615384615385, 'f1_score': 0.25, 'mse': 0.46153846153846156, 'confusion_matrix': [[12, 1], [11, 2]]}"
V,"{'accuracy': 0.5, 'precision': 0.5454545454545454, 'recall': 0.5454545454545454, 'f1_score': 0.5454545454545454, 'mse': 0.5, 'confusion_matrix': [[8, 10], [10, 12]]}","{'accuracy': 0.35135135135135137, 'precision': 0.38235294117647056, 'recall': 0.8125, 'f1_score': 0.52, 'mse': 0.6486486486486487, 'confusion_matrix': [[0, 21], [3, 13]]}","{'accuracy': 0.5675675675675675, 'precision': 0.55, 'recall': 0.6111111111111112, 'f1_score': 0.5789473684210527, 'mse': 0.43243243243243246, 'confusion_matrix': [[10, 9], [7, 11]]}","{'accuracy': 0.53125, 'precision': 0.47368421052631576, 'recall': 0.6428571428571429, 'f1_score': 0.5454545454545454, 'mse': 0.46875, 'confusion_matrix': [[8, 10], [5, 9]]}"
WFC,"{'accuracy': 0.42857142857142855, 'precision': 0.48148148148148145, 'recall': 0.5652173913043478, 'f1_score': 0.52, 'mse': 0.5714285714285714, 'confusion_matrix': [[5, 14], [10, 13]]}","{'accuracy': 0.5283018867924528, 'precision': 0.5283018867924528, 'recall': 1.0, 'f1_score': 0.6913580246913581, 'mse': 0.4716981132075472, 'confusion_matrix': [[0, 25], [0, 28]]}","{'accuracy': 0.5714285714285714, 'precision': 0.5714285714285714, 'recall': 1.0, 'f1_score': 0.7272727272727273, 'mse': 0.42857142857142855, 'confusion_matrix': [[0, 12], [0, 16]]}","{'accuracy': 0.45714285714285713, 'precision': 0.45714285714285713, 'recall': 1.0, 'f1_score': 0.6274509803921569, 'mse': 0.5428571428571428, 'confusion_matrix': [[0, 19], [0, 16]]}"
