,0,1,2,3
AAPL,"{'accuracy': 0.515625, 'precision': 0.515625, 'recall': 1.0, 'f1_score': 0.6804123711340206, 'mse': 0.484375, 'confusion_matrix': [[0, 31], [0, 33]]}","{'accuracy': 0.5625, 'precision': 0.5625, 'recall': 1.0, 'f1_score': 0.72, 'mse': 0.4375, 'confusion_matrix': [[0, 28], [0, 36]]}","{'accuracy': 0.42857142857142855, 'precision': 0.42857142857142855, 'recall': 1.0, 'f1_score': 0.6, 'mse': 0.5714285714285714, 'confusion_matrix': [[0, 36], [0, 27]]}","{'accuracy': 0.5166666666666667, 'precision': 0.5166666666666667, 'recall': 1.0, 'f1_score': 0.6813186813186815, 'mse': 0.48333333333333334, 'confusion_matrix': [[0, 29], [0, 31]]}"
ABBV,"{'accuracy': 0.6122448979591837, 'precision': 0.6122448979591837, 'recall': 1.0, 'f1_score': 0.759493670886076, 'mse': 0.3877551020408163, 'confusion_matrix': [[0, 19], [0, 30]]}","{'accuracy': 0.5609756097560976, 'precision': 0.5609756097560976, 'recall': 1.0, 'f1_score': 0.71875, 'mse': 0.43902439024390244, 'confusion_matrix': [[0, 18], [0, 23]]}","{'accuracy': 0.5945945945945946, 'precision': 0.5945945945945946, 'recall': 1.0, 'f1_score': 0.7457627118644068, 'mse': 0.40540540540540543, 'confusion_matrix': [[0, 15], [0, 22]]}","{'accuracy': 0.5405405405405406, 'precision': 0.5405405405405406, 'recall': 1.0, 'f1_score': 0.7017543859649124, 'mse': 0.4594594594594595, 'confusion_matrix': [[0, 17], [0, 20]]}"
AMZN,"{'accuracy': 0.671875, 'precision': 0.6216216216216216, 'recall': 0.7666666666666667, 'f1_score': 0.6865671641791045, 'mse': 0.328125, 'confusion_matrix': [[20, 14], [7, 23]]}","{'accuracy': 0.609375, 'precision': 0.5849056603773585, 'recall': 0.9117647058823529, 'f1_score': 0.7126436781609194, 'mse': 0.390625, 'confusion_matrix': [[8, 22], [3, 31]]}","{'accuracy': 0.5079365079365079, 'precision': 0.4444444444444444, 'recall': 0.5925925925925926, 'f1_score': 0.5079365079365079, 'mse': 0.49206349206349204, 'confusion_matrix': [[16, 20], [11, 16]]}","{'accuracy': 0.6166666666666667, 'precision': 0.5882352941176471, 'recall': 0.6896551724137931, 'f1_score': 0.6349206349206349, 'mse': 0.38333333333333336, 'confusion_matrix': [[17, 14], [9, 20]]}"
BAC,"{'accuracy': 0.5238095238095238, 'precision': 0.5238095238095238, 'recall': 1.0, 'f1_score': 0.6875000000000001, 'mse': 0.47619047619047616, 'confusion_matrix': [[0, 20], [0, 22]]}","{'accuracy': 0.4523809523809524, 'precision': 0.4523809523809524, 'recall': 1.0, 'f1_score': 0.6229508196721312, 'mse': 0.5476190476190477, 'confusion_matrix': [[0, 23], [0, 19]]}","{'accuracy': 0.375, 'precision': 0.375, 'recall': 1.0, 'f1_score': 0.5454545454545454, 'mse': 0.625, 'confusion_matrix': [[0, 25], [0, 15]]}","{'accuracy': 0.28205128205128205, 'precision': 0.17647058823529413, 'recall': 0.17647058823529413, 'f1_score': 0.17647058823529413, 'mse': 0.717948717948718, 'confusion_matrix': [[8, 14], [14, 3]]}"
GOOGL,"{'accuracy': 0.49206349206349204, 'precision': 0.49206349206349204, 'recall': 1.0, 'f1_score': 0.6595744680851063, 'mse': 0.5079365079365079, 'confusion_matrix': [[0, 32], [0, 31]]}","{'accuracy': 0.5161290322580645, 'precision': 0.5263157894736842, 'recall': 0.9090909090909091, 'f1_score': 0.6666666666666666, 'mse': 0.4838709677419355, 'confusion_matrix': [[2, 27], [3, 30]]}","{'accuracy': 0.45161290322580644, 'precision': 0.40816326530612246, 'recall': 0.8, 'f1_score': 0.5405405405405406, 'mse': 0.5483870967741935, 'confusion_matrix': [[8, 29], [5, 20]]}","{'accuracy': 0.43333333333333335, 'precision': 0.43333333333333335, 'recall': 1.0, 'f1_score': 0.6046511627906976, 'mse': 0.5666666666666667, 'confusion_matrix': [[0, 34], [0, 26]]}"
JNJ,"{'accuracy': 0.5135135135135135, 'precision': 0.8888888888888888, 'recall': 0.32, 'f1_score': 0.47058823529411764, 'mse': 0.4864864864864865, 'confusion_matrix': [[11, 1], [17, 8]]}","{'accuracy': 0.5, 'precision': 0.5, 'recall': 1.0, 'f1_score': 0.6666666666666666, 'mse': 0.5, 'confusion_matrix': [[0, 17], [0, 17]]}","{'accuracy': 0.4642857142857143, 'precision': 0.55, 'recall': 0.6470588235294118, 'f1_score': 0.5945945945945946, 'mse': 0.5357142857142857, 'confusion_matrix': [[2, 9], [6, 11]]}","{'accuracy': 0.6285714285714286, 'precision': 0.5217391304347826, 'recall': 0.8571428571428571, 'f1_score': 0.6486486486486486, 'mse': 0.37142857142857144, 'confusion_matrix': [[10, 11], [2, 12]]}"
JPM,"{'accuracy': 0.5833333333333334, 'precision': 0.6216216216216216, 'recall': 0.7931034482758621, 'f1_score': 0.696969696969697, 'mse': 0.4166666666666667, 'confusion_matrix': [[5, 14], [6, 23]]}","{'accuracy': 0.375, 'precision': 0.3783783783783784, 'recall': 0.875, 'f1_score': 0.5283018867924528, 'mse': 0.625, 'confusion_matrix': [[1, 23], [2, 14]]}","{'accuracy': 0.4090909090909091, 'precision': 0.41025641025641024, 'recall': 0.8421052631578947, 'f1_score': 0.5517241379310346, 'mse': 0.5909090909090909, 'confusion_matrix': [[2, 23], [3, 16]]}","{'accuracy': 0.5, 'precision': 0.5128205128205128, 'recall': 0.9523809523809523, 'f1_score': 0.6666666666666666, 'mse': 0.5, 'confusion_matrix': [[0, 19], [1, 20]]}"
LLY,"{'accuracy': 0.59375, 'precision': 0.59375, 'recall': 1.0, 'f1_score': 0.7450980392156863, 'mse': 0.40625, 'confusion_matrix': [[0, 13], [0, 19]]}","{'accuracy': 0.4090909090909091, 'precision': 0.4090909090909091, 'recall': 1.0, 'f1_score': 0.5806451612903226, 'mse': 0.5909090909090909, 'confusion_matrix': [[0, 13], [0, 9]]}","{'accuracy': 0.5588235294117647, 'precision': 0.5588235294117647, 'recall': 1.0, 'f1_score': 0.7169811320754718, 'mse': 0.4411764705882353, 'confusion_matrix': [[0, 15], [0, 19]]}","{'accuracy': 0.42857142857142855, 'precision': 0.42857142857142855, 'recall': 1.0, 'f1_score': 0.6, 'mse': 0.5714285714285714, 'confusion_matrix': [[0, 20], [0, 15]]}"
MA,"{'accuracy': 0.6, 'precision': 0.5, 'recall': 0.9, 'f1_score': 0.6428571428571429, 'mse': 0.4, 'confusion_matrix': [[12, 18], [2, 18]]}","{'accuracy': 0.6111111111111112, 'precision': 0.5789473684210527, 'recall': 0.6470588235294118, 'f1_score': 0.6111111111111113, 'mse': 0.3888888888888889, 'confusion_matrix': [[11, 8], [6, 11]]}","{'accuracy': 0.6136363636363636, 'precision': 0.5833333333333334, 'recall': 0.6666666666666666, 'f1_score': 0.6222222222222222, 'mse': 0.38636363636363635, 'confusion_matrix': [[13, 10], [7, 14]]}","{'accuracy': 0.6176470588235294, 'precision': 0.5, 'recall': 0.7692307692307693, 'f1_score': 0.6060606060606061, 'mse': 0.38235294117647056, 'confusion_matrix': [[11, 10], [3, 10]]}"
MRK,"{'accuracy': 0.5526315789473685, 'precision': 0.6666666666666666, 'recall': 0.7407407407407407, 'f1_score': 0.7017543859649122, 'mse': 0.4473684210526316, 'confusion_matrix': [[1, 10], [7, 20]]}","{'accuracy': 0.5, 'precision': 0.3888888888888889, 'recall': 0.4666666666666667, 'f1_score': 0.42424242424242425, 'mse': 0.5, 'confusion_matrix': [[12, 11], [8, 7]]}","{'accuracy': 0.6666666666666666, 'precision': 0.8076923076923077, 'recall': 0.7, 'f1_score': 0.75, 'mse': 0.3333333333333333, 'confusion_matrix': [[7, 5], [9, 21]]}","{'accuracy': 0.5277777777777778, 'precision': 0.5294117647058824, 'recall': 0.9473684210526315, 'f1_score': 0.679245283018868, 'mse': 0.4722222222222222, 'confusion_matrix': [[1, 16], [1, 18]]}"
